Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.017194935	03/02/2021	14:14:22	03/02/2021	14:14:23
Testing fasta files 	0.0171790983333333	03/02/2021	14:14:23	03/02/2021	14:14:24
Testing raw files 	0.286975198333333	03/02/2021	14:14:24	03/02/2021	14:14:41
Feature detection 	4.771523135	03/02/2021	14:14:41	03/02/2021	14:19:27
Calculating peak properties 	0.0346268216666667	03/02/2021	14:19:27	03/02/2021	14:19:29
Combining apl files for first search 	0.152566251666667	03/02/2021	14:19:29	03/02/2021	14:19:38
Preparing searches 	6.143266235	03/02/2021	14:19:38	03/02/2021	14:25:47
MS/MS first search 	25.7808543916667	03/02/2021	14:25:47	03/02/2021	14:51:34
Read search results for recalibration 	0.437945235	03/02/2021	14:51:34	03/02/2021	14:52:00
Mass recalibration 	1.34520065666667	03/02/2021	14:52:00	03/02/2021	14:53:21
MS/MS preparation for main search 	1.49715402333333	03/02/2021	14:53:21	03/02/2021	14:54:51
Combining apl files for main search 	0.168533118333333	03/02/2021	14:54:51	03/02/2021	14:55:01
MS/MS main search 	20.9110417916667	03/02/2021	14:55:01	03/02/2021	15:15:55
Preparing combined folder  	0.067351925	03/02/2021	15:15:55	03/02/2021	15:15:59
Calculating masses 	0.0845840433333333	03/02/2021	15:15:59	03/02/2021	15:16:05
Correcting errors 	0.21865579	03/02/2021	15:16:05	03/02/2021	15:16:18
Reading search engine results 	0.521293075	03/02/2021	15:16:18	03/02/2021	15:16:49
Preparing reverse hits 	0.13515104	03/02/2021	15:16:49	03/02/2021	15:16:57
Finish search engine results 	0.0854028416666667	03/02/2021	15:16:57	03/02/2021	15:17:02
Filter identifications (MS/MS) 	0.0853960583333333	03/02/2021	15:17:02	03/02/2021	15:17:07
Calculating PEP 	1.13409619666667	03/02/2021	15:17:07	03/02/2021	15:18:15
Copying identifications 	0.051549465	03/02/2021	15:18:15	03/02/2021	15:18:18
Applying FDR 	0.152567046666667	03/02/2021	15:18:18	03/02/2021	15:18:28
Assembling second peptide MS/MS 	1.828336755	03/02/2021	15:18:28	03/02/2021	15:20:17
Combining second peptide files 	0.118720823333333	03/02/2021	15:20:17	03/02/2021	15:20:24
Second peptide search 	21.66545391	03/02/2021	15:20:24	03/02/2021	15:42:04
Reading search engine results (SP) 	0.37308566	03/02/2021	15:42:04	03/02/2021	15:42:27
Finish search engine results (SP) 	0.017703995	03/02/2021	15:42:27	03/02/2021	15:42:28
Filtering identifications (SP) 	0.0346269283333333	03/02/2021	15:42:28	03/02/2021	15:42:30
Applying FDR (SP) 	0.203335246666667	03/02/2021	15:42:30	03/02/2021	15:42:42
Re-quantification 	0.0177043683333333	03/02/2021	15:42:42	03/02/2021	15:42:43
Reporter quantification 	0.0177039816666667	03/02/2021	15:42:43	03/02/2021	15:42:44
Retention time alignment 	1.72639998666667	03/02/2021	15:42:44	03/02/2021	15:44:28
Matching between runs 	0.169489731666667	03/02/2021	15:44:28	03/02/2021	15:44:38
Prepare protein assembly 	0.169489731666667	03/02/2021	15:44:38	03/02/2021	15:44:48
Assembling proteins 	0.576161028333333	03/02/2021	15:44:48	03/02/2021	15:45:23
Assembling unidentified peptides 	0.0177038983333333	03/02/2021	15:45:23	03/02/2021	15:45:24
Finish protein assembly 	0.575640238333333	03/02/2021	15:45:24	03/02/2021	15:45:58
Updating identifications 	0.01770399	03/02/2021	15:45:58	03/02/2021	15:45:59
Label-free normalization 	0.0171833016666667	03/02/2021	15:45:59	03/02/2021	15:46:00
Label-free quantification 	0.034626925	03/02/2021	15:46:00	03/02/2021	15:46:02
Label-free collect 	0.0171832916666667	03/02/2021	15:46:02	03/02/2021	15:46:03
Estimating complexity 	0.017703995	03/02/2021	15:46:03	03/02/2021	15:46:05
Prepare writing tables  	0.03410623	03/02/2021	15:46:05	03/02/2021	15:46:07
Writing tables 	1.50692256666667	03/02/2021	15:46:07	03/02/2021	15:47:37
Finish writing tables  	0.0171832833333333	03/02/2021	15:47:37	03/02/2021	15:47:38
