Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.0171829016666667	16/04/2021	18:07:23	16/04/2021	18:07:24
Assemble run info 	0.186710513333333	16/04/2021	18:07:24	16/04/2021	18:07:35
Finish run info 	0.01693258	16/04/2021	18:07:35	16/04/2021	18:07:36
Testing fasta files 	0.0171832083333333	16/04/2021	18:07:36	16/04/2021	18:07:37
Testing raw files 	0.0356748233333333	16/04/2021	18:07:37	16/04/2021	18:07:40
Feature detection 	1.53371269166667	16/04/2021	18:07:40	16/04/2021	18:09:12
Deisotoping 	2.78987990333333	16/04/2021	18:09:12	16/04/2021	18:11:59
MS/MS preparation 	3.10302761666667	16/04/2021	18:11:59	16/04/2021	18:15:05
Calculating peak properties 	0.06858429	16/04/2021	18:15:05	16/04/2021	18:15:09
Combining apl files for first search 	0.284989995	16/04/2021	18:15:09	16/04/2021	18:15:26
Preparing searches 	5.71261370666667	16/04/2021	18:15:26	16/04/2021	18:21:09
MS/MS first search 	29.3820823666667	16/04/2021	18:21:09	16/04/2021	18:50:32
Read search results for recalibration 	0.999047428333333	16/04/2021	18:50:32	16/04/2021	18:51:32
Mass recalibration 	8.745181485	16/04/2021	18:51:32	16/04/2021	19:00:17
Calculating masses 	0.185918766666667	16/04/2021	19:00:17	16/04/2021	19:00:28
MS/MS preparation for main search 	3.28857624	16/04/2021	19:00:28	16/04/2021	19:03:45
Combining apl files for main search 	0.301197675	16/04/2021	19:03:45	16/04/2021	19:04:03
MS/MS main search 	16.0121699066667	16/04/2021	19:04:03	16/04/2021	19:20:04
Preparing combined folder  	0.0505142916666667	16/04/2021	19:20:04	16/04/2021	19:20:07
Correcting errors 	1.529151515	16/04/2021	19:20:07	16/04/2021	19:21:39
Reading search engine results 	0.690370986666667	16/04/2021	19:21:39	16/04/2021	19:22:20
Preparing reverse hits 	0.06746736	16/04/2021	19:22:20	16/04/2021	19:22:24
Finish search engine results 	0.118720386666667	16/04/2021	19:22:24	16/04/2021	19:22:31
Filter identifications (MS/MS) 	0.136019096666667	16/04/2021	19:22:31	16/04/2021	19:22:39
Calculating PEP 	1.91078059333333	16/04/2021	19:22:39	16/04/2021	19:24:34
Copying identifications 	0.085497075	16/04/2021	19:24:34	16/04/2021	19:24:39
Applying FDR 	0.318337753333333	16/04/2021	19:24:39	16/04/2021	19:24:58
Assembling second peptide MS/MS 	6.56795950166667	16/04/2021	19:24:58	16/04/2021	19:31:32
Combining second peptide files 	0.369882718333333	16/04/2021	19:31:32	16/04/2021	19:31:55
Second peptide search 	21.164199095	16/04/2021	19:31:55	16/04/2021	19:53:04
Reading search engine results (SP) 	0.456153353333333	16/04/2021	19:53:04	16/04/2021	19:53:32
Finish search engine results (SP) 	0.0520252433333333	16/04/2021	19:53:32	16/04/2021	19:53:35
Filtering identifications (SP) 	0.0685544666666667	16/04/2021	19:53:35	16/04/2021	19:53:39
Applying FDR (SP) 	0.804058705	16/04/2021	19:53:39	16/04/2021	19:54:27
Re-quantification 	0.0182750883333333	16/04/2021	19:54:27	16/04/2021	19:54:28
Reporter quantification 	0.0182463	16/04/2021	19:54:28	16/04/2021	19:54:30
Retention time alignment 	18.6868888816667	16/04/2021	19:54:30	16/04/2021	20:13:11
Matching between runs 1 	0.321610801666667	16/04/2021	20:13:11	16/04/2021	20:13:30
Matching between runs 2 	0.03411436	16/04/2021	20:13:30	16/04/2021	20:13:32
Matching between runs 3 	0.35468299	16/04/2021	20:13:32	16/04/2021	20:13:53
Matching between runs 4 	0.084115895	16/04/2021	20:13:53	16/04/2021	20:13:58
Prepare protein assembly 	0.436468285	16/04/2021	20:13:58	16/04/2021	20:14:25
Assembling proteins 	2.608622965	16/04/2021	20:14:25	16/04/2021	20:17:01
Assembling unidentified peptides 	0.018393705	16/04/2021	20:17:01	16/04/2021	20:17:02
Finish protein assembly 	3.420197465	16/04/2021	20:17:02	16/04/2021	20:20:27
Updating identifications 	0.034945275	16/04/2021	20:20:27	16/04/2021	20:20:30
Label-free normalization 	0.117369263333333	16/04/2021	20:20:30	16/04/2021	20:20:37
Label-free quantification 	0.218599625	16/04/2021	20:20:37	16/04/2021	20:20:50
Label-free collect 	0.117620808333333	16/04/2021	20:20:50	16/04/2021	20:20:57
Estimating complexity 	0.051926005	16/04/2021	20:20:57	16/04/2021	20:21:00
Prepare writing tables  	0.0336750333333333	16/04/2021	20:21:00	16/04/2021	20:21:02
Writing tables 	1.5627435	16/04/2021	20:21:02	16/04/2021	20:22:36
Finish writing tables  	0.0675403966666667	16/04/2021	20:22:36	16/04/2021	20:22:40
