"Modifications"	"Proteins"	"Intensity QC02_210326"	"Intensity QC02_210331"	"Intensity QC02_210402"	"Intensity QC02_210406"	"Intensity QC02_210410"	"Intensity QC02_210411"	"Experiment QC02_210326"	"Experiment QC02_210331"	"Experiment QC02_210402"	"Experiment QC02_210406"	"Experiment QC02_210410"	"Experiment QC02_210411"	"Potential contaminant"	"Reverse"
"Unmodified"	"P61006"	19974000	0	0	45567000	0	34755000	1	NA	NA	1	NA	1	NA	NA
"Unmodified"	"P16278"	6802100	8276000	7889300	14723000	26082000	17482000	1	2	2	1	2	1	NA	NA
"Unmodified"	"Q15149"	19553000	24836000	17547000	46223000	30056000	41438000	1	1	1	1	1	1	NA	NA
"Unmodified"	"O75821"	15624000	16902000	15833000	26766000	22906000	31415000	1	1	1	1	1	1	NA	NA
"2 Oxidation (M)"	"P61247"	0	0	0	0	1681100	2223600	NA	NA	NA	NA	1	1	NA	NA
"Unmodified"	"Q9H8Y5"	2818600	3273800	1900600	6655700	4506100	5411500	1	1	1	1	1	1	NA	NA
"Unmodified"	"P15170;Q8IYD1"	5700700	8505800	5410600	10120000	12094000	17239000	1	1	2	1	2	2	NA	NA
"Unmodified"	"P09874"	9301400	10108000	8260200	18791000	13087000	20613000	2	2	2	2	2	2	NA	NA
"Unmodified"	"O96008"	1410100	1852600	1129200	0	2963800	2460000	1	1	1	NA	1	1	NA	NA
"Unmodified"	"O60264"	10210000	14618000	8994600	0	13906000	23738000	1	1	1	NA	1	1	NA	NA
"Unmodified"	"O95573"	0	0	0	0	1439600	0	NA	NA	NA	NA	1	NA	NA	NA
"Unmodified"	"P46734"	2153600	3530200	2446700	6033700	0	6162900	1	1	1	1	NA	1	NA	NA
"Unmodified"	"Q9NXF1"	0	0	0	0	3366500	0	NA	NA	NA	NA	1	NA	NA	NA
"Unmodified"	"P34949"	2188200	1712000	2546800	5627800	5053900	5272500	2	1	2	2	1	2	NA	NA
"Unmodified"	"Q63HN8"	1387400	1371100	1336400	0	0	2929300	1	1	1	NA	NA	1	NA	NA
"Unmodified"	"Q6PI48"	7701700	8992100	6270000	18608000	0	0	1	1	1	1	NA	NA	NA	NA
"Unmodified"	"P51784"	2892400	0	0	3578200	0	4248700	1	NA	NA	1	NA	1	NA	NA
"Unmodified"	"P46940"	38665000	53704000	38555000	65764000	43869000	70747000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9Y295"	2179200	2188800	1848100	5245700	0	3795800	1	1	1	1	NA	1	NA	NA
"Unmodified"	"P07814"	29404000	41296000	33059000	78947000	82377000	79339000	1	1	1	2	1	2	NA	NA
"Unmodified"	"O60271"	0	0	6482400	0	0	0	NA	NA	1	NA	NA	NA	NA	NA
"Unmodified"	"Q96C57"	3612800	3071400	2625600	6237900	4471100	6201300	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9UHG3"	8210200	0	6778400	11784000	14708000	13345000	1	NA	1	1	2	1	NA	NA
"Acetyl (Protein N-term)"	"Q5SNT2"	2010600	1908300	2309200	4795300	0	4266200	1	1	1	1	NA	1	NA	NA
"Acetyl (Protein N-term)"	"P21283"	3153700	3303000	3398300	5410300	0	5654500	1	1	1	1	NA	1	NA	NA
"Unmodified"	"Q15428"	0	8876800	7014500	0	10433000	0	NA	1	1	NA	1	NA	NA	NA
"Unmodified"	"P33991"	14332000	0	10507000	2606900	0	7165600	1	NA	2	2	NA	3	NA	NA
"Unmodified"	"O14617"	2165800	3284300	3112900	5916200	0	5077700	1	2	2	1	NA	1	NA	NA
"Unmodified"	"Q5VT52"	2141600	2645800	2066100	4371000	3217000	4741100	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9BQ04"	1774900	3057900	0	6418600	5532800	5043100	1	1	NA	1	1	1	NA	NA
"Unmodified"	"Q96N21"	0	0	0	0	1443300	2702600	NA	NA	NA	NA	1	1	NA	NA
"Oxidation (M)"	"P22234"	0	21978000	4971800	3301600	0	8069100	NA	1	2	1	NA	2	NA	NA
"Acetyl (Protein N-term)"	"Q9NQX3"	0	0	1796100	0	3605600	0	NA	NA	1	NA	1	NA	NA	NA
"Unmodified"	"Q8NEB9"	987640	0	0	2121700	0	2177400	1	NA	NA	1	NA	1	NA	NA
"Unmodified"	"Q93009"	0	0	3552300	0	0	0	NA	NA	1	NA	NA	NA	NA	NA
"Unmodified"	"CON__ENSEMBL:ENSBTAP00000024146;P01023;P20742"	28606000	40898000	27664000	68343000	35480000	59029000	1	1	1	1	1	1	"+"	NA
"Unmodified"	"Q86XI2"	3611100	1961500	2399500	0	961700	3894200	1	1	1	NA	1	1	NA	NA
"Oxidation (M)"	"P35637"	6747300	5402400	6840000	16809000	5296000	13816000	2	1	2	2	1	2	NA	NA
"Unmodified"	"Q9H074"	13223000	14951000	14994000	28762000	23884000	29432000	1	1	1	1	1	1	NA	NA
"Unmodified"	"P53618"	6411900	5100400	5963800	13251000	5855200	11538000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q13200"	5343900	8523500	6023500	12610000	4074000	11701000	1	1	2	1	1	1	NA	NA
"Unmodified"	"P04844"	3833900	6092100	3973600	6663700	12569000	6786000	1	1	1	1	1	1	NA	NA
"Acetyl (Protein N-term)"	"Q3MHD2"	7396900	12104000	7745000	11586000	16460000	12794000	1	1	1	1	1	1	NA	NA
"Oxidation (M)"	"P67809"	9364900	12216000	7093300	21247000	17759000	22557000	1	2	1	1	2	1	NA	NA
"Oxidation (M)"	"Q15149"	0	591800	0	0	0	0	NA	1	NA	NA	NA	NA	NA	NA
"Oxidation (M)"	"P23284"	29819000	41570000	29899000	60623000	75063000	60963000	3	3	4	3	4	3	NA	NA
"Unmodified"	"CON__Q2KIG3"	1244400	0	1070900	3350000	0	3062700	1	NA	1	1	NA	1	"+"	NA
"Unmodified"	"Q92616"	19039000	21611000	17869000	48863000	33664000	39110000	2	2	2	2	2	2	NA	NA
"Oxidation (M)"	"P50395;P31150"	1650900	3061000	0	6136000	6377700	6364300	1	2	NA	1	2	1	NA	NA
"Unmodified"	"Q14980"	12846000	15542000	13797000	26872000	18613000	25694000	2	2	2	2	2	2	NA	NA
"Unmodified"	"O75643"	2383500	3427100	2302600	7345900	35853000	8256300	1	1	1	1	2	1	NA	NA
"Unmodified"	"Q8TED0"	2372800	0	0	5429600	4370100	3541300	1	NA	NA	1	2	1	NA	NA
"Unmodified"	"Q99832"	30418000	46676000	32394000	22073000	41895000	23795000	2	2	2	1	1	1	NA	NA
"Unmodified"	"O43396"	4396100	5017400	3847800	8365100	3494300	6594200	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q8NBJ5"	3795100	3646700	2659300	5260000	10251000	6416300	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9UKY7"	17168000	14761000	31576000	42561000	38214000	38770000	2	1	2	2	2	2	NA	NA
"Unmodified"	"O15164"	1096600	1458800	899610	1583600	0	2014900	1	1	1	1	NA	1	NA	NA
"Unmodified"	"P80303"	6642900	0	7021500	12345000	0	0	1	NA	1	1	NA	NA	NA	NA
"Oxidation (M)"	"P43246"	0	2956400	2215300	3924400	3239400	0	NA	1	1	1	1	NA	NA	NA
"Unmodified"	"P61353"	247960000	330880000	233440000	573110000	367220000	524170000	1	1	1	1	1	1	NA	NA
"Unmodified"	"O94855"	0	6578600	0	10895000	13800000	8638900	NA	1	NA	1	1	1	NA	NA
"Unmodified"	"P67936"	5141500	21568000	6034100	0	417760	834330	1	2	2	NA	1	1	NA	NA
"Unmodified"	"O75643"	5470900	7251200	5850300	0	0	10553000	1	1	1	NA	NA	1	NA	NA
"Unmodified"	"Q93008"	1667500	3166100	1788100	6288200	0	4579900	1	1	1	1	NA	1	NA	NA
"Unmodified"	"Q9NVI1"	0	1074800	0	0	0	0	NA	1	NA	NA	NA	NA	NA	NA
"Unmodified"	"Q96G03"	5200400	0	3939300	7283700	8525800	6720600	1	NA	1	1	2	1	NA	NA
"Unmodified"	"Q12792"	0	3079300	0	0	0	0	NA	1	NA	NA	NA	NA	NA	NA
"Unmodified"	"O94906"	3870600	3551900	2748500	3313500	2838000	5729100	2	1	2	1	2	2	NA	NA
"Unmodified"	"O14980"	13901000	20073000	14022000	35449000	22533000	36564000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q5T4S7"	3103100	1727200	2843100	5636300	0	5433100	1	1	1	1	NA	1	NA	NA
"Unmodified"	"P17987"	35227000	39629000	37732000	74326000	49315000	64626000	2	2	2	2	2	2	NA	NA
"Unmodified"	"Q15645"	9408800	13877000	9758500	25784000	22416000	22166000	2	2	2	2	2	2	NA	NA
"Unmodified"	"Q9NRF8"	2273500	2268600	0	3844400	0	3928000	1	1	NA	1	NA	1	NA	NA
"Unmodified"	"O43674"	6716800	11285000	2530200	10484000	4311900	10458000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9HC38"	0	5409500	0	0	0	0	NA	1	NA	NA	NA	NA	NA	NA
"Unmodified"	"P43246"	7837900	10242000	7660700	20389000	27678000	17265000	2	2	2	2	2	2	NA	NA
"Unmodified"	"P52732"	2579200	0	3893200	6264500	3644400	5810200	1	NA	1	1	1	1	NA	NA
"Unmodified"	"Q09666"	9461800	10995000	8071900	19949000	20236000	16989000	1	1	1	1	1	1	NA	NA
"Unmodified"	"P62277"	126670000	164370000	131010000	321770000	202470000	286430000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q13232"	0	1050100	1418800	0	1777400	0	NA	1	1	NA	1	NA	NA	NA
"Unmodified"	NA	104780000	120680000	86784000	225850000	137740000	180480000	2	2	2	2	2	2	NA	"+"
"Unmodified"	"P82933"	0	0	2746800	5762600	0	4833000	1	NA	1	1	NA	1	NA	NA
"Unmodified"	"Q7Z4H8"	0	0	1931600	0	0	0	NA	NA	1	NA	NA	NA	NA	NA
"Unmodified"	"P16219"	560840	857290	0	1301700	0	1767400	1	1	NA	1	NA	1	NA	NA
"Unmodified"	"Q5T6V5"	2767800	0	2651300	0	7635600	0	1	NA	1	NA	1	NA	NA	NA
"Unmodified"	"Q5K4L6"	2352600	0	1342100	3116900	2721800	2320000	1	NA	1	1	1	1	NA	NA
"Unmodified"	"O15381"	2993900	2318400	1910600	4268700	2425200	4282200	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9NTJ3"	3252700	3530400	0	0	0	0	1	1	NA	NA	NA	NA	NA	NA
"Unmodified"	"P13807"	1812000	0	2089900	3305300	0	3120100	1	NA	1	1	NA	1	NA	NA
"Unmodified"	"Q99829"	11668000	13964000	12172000	0	15095000	0	1	1	1	NA	1	1	NA	NA
"Unmodified"	"Q9NVD7"	9622300	12752000	11790000	23336000	22781000	19351000	2	2	2	2	2	2	NA	NA
"Unmodified"	"P18583"	3613500	4454300	4741100	9014700	8678900	14326000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9BV20"	0	0	0	0	0	0	NA	NA	1	NA	NA	NA	NA	NA
"Unmodified"	"P48651"	1101600	1806000	1309400	3421400	5776700	3279800	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9H1E3"	1863600	3329900	2860000	4136300	3371400	5109200	1	1	1	1	1	1	NA	NA
"Unmodified"	"P27707"	0	4220500	3167200	0	26468000	0	NA	1	1	NA	1	NA	NA	NA
"Unmodified"	"Q13561"	3323600	0	2847400	9172700	5723100	0	1	NA	1	1	1	1	NA	NA
"Unmodified"	"Q9Y2Y0"	0	2384500	1991600	0	0	0	NA	1	1	NA	NA	NA	NA	NA
"Acetyl (Protein N-term);Oxidation (M)"	"P61978"	14575000	13348000	13773000	30829000	45808000	31485000	3	2	2	2	3	4	NA	NA
"Unmodified"	"O95831"	21104000	21312000	19747000	51496000	36943000	53598000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q86UP2"	7168300	9830900	0	8828100	12357000	12688000	1	1	NA	1	2	1	NA	NA
"Unmodified"	"P24534"	85011000	100430000	0	225040000	152760000	184090000	1	1	NA	1	1	1	NA	NA
"Unmodified"	"Q13523"	5888400	6906000	5739800	9400100	0	10999000	1	1	1	1	NA	1	NA	NA
"Unmodified"	"P21333"	55808000	12332000	32549000	130290000	27046000	110420000	3	1	2	3	2	3	NA	NA
"Unmodified"	"O75150"	2911000	3731400	2960300	0	5810900	0	1	1	1	NA	2	NA	NA	NA
"Unmodified"	"Q96CD2"	2071300	0	0	3173300	3192600	4266200	1	NA	NA	1	1	1	NA	NA
"Unmodified"	"P56545;Q13363"	0	6197100	0	0	2326700	0	NA	1	NA	NA	1	NA	NA	NA
"Unmodified"	"Q9H0P0"	0	2369000	0	0	0	0	NA	1	NA	1	NA	1	NA	NA
"Unmodified"	"CON__ENSEMBL:ENSBTAP00000034412"	6994900	6899100	1998400	3899000	969050	0	2	2	2	2	1	NA	"+"	NA
"Unmodified"	"Q9BRP1"	1270500	999270	972060	3319400	0	2526000	1	1	1	1	NA	1	NA	NA
"Unmodified"	"Q15643"	934850	3065600	0	0	5067600	1520700	1	1	NA	NA	1	1	NA	NA
"Unmodified"	"P41240"	3351500	5886600	3031300	6957400	5893800	6731500	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q00325"	19462000	21547000	24916000	34968000	78250000	39469000	2	2	2	2	3	3	NA	NA
"Unmodified"	"Q5T653"	11297000	10103000	9248900	27074000	45406000	26815000	1	1	1	1	1	1	NA	NA
"Unmodified"	"O00629"	5052400	10672000	5969200	18908000	35494000	26270000	1	1	1	2	1	2	NA	NA
"Unmodified"	"Q01968"	1556900	0	1397000	2979600	3192600	3659600	1	NA	1	1	1	1	NA	NA
"Unmodified"	"O60264"	0	3799500	0	0	0	0	NA	1	NA	NA	NA	NA	NA	NA
"Unmodified"	"Q9UEG4"	0	1202100	0	0	2937800	0	NA	1	NA	NA	1	NA	NA	NA
"Unmodified"	"P11498"	2114900	8805100	3065600	5518400	17569000	1.3e+07	1	2	1	1	2	2	NA	NA
"Unmodified"	"Q9BVV7"	0	4392200	0	6769600	3866300	5612500	NA	1	NA	1	1	1	NA	NA
"Unmodified"	"P52758"	2392900	3513600	3167800	6980000	4946900	5454500	2	2	2	2	1	2	NA	NA
"Unmodified"	"Q00341"	17887000	21764000	16287000	41072000	42156000	36468000	1	1	1	2	2	2	NA	NA
"Unmodified"	"O15027"	3026400	2726500	2841300	7442100	1.1e+07	8328300	1	1	1	1	1	1	NA	NA
"Unmodified"	"O43396"	2560600	3922600	3121700	8525300	4572000	7554900	1	1	1	2	1	2	NA	NA
"Oxidation (M)"	"Q99832"	928980	1023200	92192	205130	175150	0	2	1	1	1	1	NA	NA	NA
"Unmodified"	"CON__Q2UVX4"	87918000	87226000	75693000	213840000	138510000	196610000	3	2	3	4	4	4	"+"	NA
"Unmodified"	"P02786"	48319000	0	52518000	96544000	74112000	105230000	1	NA	1	1	1	1	NA	NA
"Unmodified"	"CON__Q9TRI1"	34432000	51992000	44928000	102670000	147920000	101160000	2	2	2	2	2	2	"+"	NA
"Unmodified"	"P57105"	0	4336500	3760500	0	10234000	0	1	1	1	NA	1	NA	NA	NA
"Unmodified"	"Q15149"	20412000	26612000	21984000	68469000	63100000	58657000	2	2	2	2	2	2	NA	NA
"Unmodified"	"P07814"	6929100	8428700	4983000	13163000	7907000	12051000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q8IWA0"	3020100	4601500	2674700	5134500	3748900	5410600	1	1	1	1	1	1	NA	NA
"Unmodified"	"O75369"	274670000	346240000	0	541810000	0	550800000	1	1	NA	1	NA	1	NA	NA
"Unmodified"	"P11172"	3084000	9876600	0	14889000	9184900	15028000	1	1	NA	2	1	2	NA	NA
"Unmodified"	"P07741"	9180900	9121000	6191800	9514500	22866000	12067000	1	1	1	2	1	1	NA	NA
"Unmodified"	"Q99575"	0	0	1081100	2536100	0	0	NA	NA	1	1	NA	NA	NA	NA
"Unmodified"	"Q96PU8"	2688900	3644600	2877700	4742200	4729500	4411500	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q8IXH7"	0	3028500	0	8092600	0	6002700	NA	1	NA	1	NA	1	NA	NA
"Unmodified"	"P36871"	7570500	8109100	7267000	17471000	8802000	0	1	1	1	1	1	NA	NA	NA
"Unmodified"	"P62140;P62136;P36873"	82615000	121260000	34916000	29001000	67262000	31565000	2	2	2	4	1	4	NA	NA
"Unmodified"	"Q13363"	5412100	9589500	5774300	12051000	9421200	12110000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q8N1G0"	931000	0	0	1954300	0	1261400	1	NA	NA	1	NA	1	NA	NA
"Unmodified"	"Q8WWV3"	0	1045800	0	0	0	0	NA	1	NA	NA	NA	NA	NA	NA
"Unmodified"	"P13489"	16480000	18800000	16133000	31226000	21288000	32817000	1	1	1	1	1	1	NA	NA
"Oxidation (M)"	"P14625"	10180000	12048000	8752700	17159000	10262000	12956000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9NYT0"	1116000	1411400	0	0	1780200	1686800	1	1	NA	NA	1	1	NA	NA
"Unmodified"	"Q66K14"	666740	0	0	1297100	0	1402100	1	NA	NA	1	NA	1	NA	NA
"Unmodified"	"Q15397"	3203000	0	2758400	6281100	0	5004300	1	NA	1	1	NA	1	NA	NA
"Unmodified"	"Q5JRA6"	0	0	1548600	5294200	2423900	5137500	NA	NA	1	1	1	1	NA	NA
"Unmodified"	"P23634;P20020;Q01814;Q16720"	3166700	4497500	1699500	0	1457000	3351000	1	1	1	NA	1	1	NA	NA
"Oxidation (M)"	"P26641"	456550	433400	311800	0	5538000	3060400	1	1	1	NA	1	1	NA	NA
"Unmodified"	"P07237"	147810000	160830000	136110000	399650000	294680000	329030000	2	2	2	2	2	2	NA	NA
"Unmodified"	"Q7KZI7"	0	1386700	1391900	1173400	2871300	3345800	NA	1	1	1	1	1	NA	NA
"Unmodified"	"Q9UBP6"	0	440790	285820	1813900	0	0	NA	1	1	1	NA	NA	NA	NA
"Unmodified"	"Q8TAQ2;Q92922"	5544900	16817000	15274000	15376000	0	11201000	1	2	2	1	1	1	NA	NA
"Unmodified"	"P49327"	30885000	33733000	27976000	83484000	50118000	65065000	1	1	1	2	1	1	NA	NA
"Unmodified"	"Q9UFN0"	1113200	1498400	986260	4291200	0	3171900	2	1	2	2	NA	2	NA	NA
"Unmodified"	"P12081"	19843000	18627000	2182700	4844900	0	3222300	2	1	2	1	NA	1	NA	NA
"Unmodified"	"P04075"	66569000	62190000	9452300	30503000	19639000	49437000	3	3	2	3	3	3	NA	NA
"Unmodified"	"P08195"	100450000	118270000	101220000	205490000	154730000	198280000	1	1	1	1	2	1	NA	NA
"Unmodified"	"Q5T8D3"	1754900	0	0	4574000	0	2869000	1	NA	NA	1	1	1	NA	NA
"Unmodified"	"Q13185"	14923000	20411000	18375000	34652000	23778000	30915000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q6P2Q9"	5541300	10781000	5384500	16842000	19858000	14670000	2	2	2	2	1	2	NA	NA
"Unmodified"	"Q5T8I3"	1829400	1617700	1745400	4516300	0	3797200	1	1	1	1	NA	1	NA	NA
"Unmodified"	"P08240"	5336800	7213200	0	14152000	9568500	12388000	1	1	NA	1	1	1	NA	NA
"Unmodified"	"P68371;Q3ZCM7"	224080000	315700000	253060000	568650000	446500000	540420000	2	2	2	3	2	2	NA	NA
"Unmodified"	"P20810"	2540800	2794200	2050000	3498500	3588100	6526700	1	1	1	1	1	1	NA	NA
