"Experiment"	"Retention time"	"Cycle time"	"MS/MS count"
"VIII27_210129"	2.6154	0.32362	0
"III23_210129"	141.77	0.32593	0
"HEK_210203"	148.4	0.32593	0
"HEK_201204"	145.9	0.32684	0
"VIII27_210129"	140.17	0.36255	1
"HEK_210203"	146.98	0.36987	1
"III23_210201"	140.29	0.31952	0
"HEK_210203"	101.19	6.8042	111
"HEK_201204"	5.3699	0.36006	1
"VIII27_210129"	148.62	0.36896	1
"HEK_201204"	143.81	0.43304	2
"VIII27_210129"	65.672	2.119	36
"HEK_201204"	116.11	6.7598	105
"III23_210201"	135.85	0.53558	4
"III23_210129"	86.573	2.135	38
"III23_18compl_210129"	13.991	0.32101	0
"HEK_210203"	5.8368	0.32404	0
"HEK_210203"	135.88	0.39276	2
"III23_18compl_210129"	135.61	1.2808	16
"III23_18compl_210129"	8.3581	0.32764	0
"HEK_201204"	32.754	1.9622	36
"III23_210129"	147.23	0.32593	0
"III12_210129"	3.8453	0.32305	0
"III23_18compl_210129"	0.73104	0.32488	0
"III23_210201"	3.129	0.3241	0
"III23_210201"	5.9636	0.32453	0
"HEK_201204"	12.339	0.31918	0
"HEK_201204"	21.269	6.8763	116
"III12_210129"	10.521	0.32827	0
"HEK_210201"	12.257	0.31912	0
"VIII27_210129"	80.265	6.4366	105
"III23_210201"	21.5	6.7946	114
"III23_18compl_210129"	5.8609	0.3253	0
"HEK_210201"	0.10761	0.36147	1
"HEK_201204"	58.183	2.0833	38
"HEK_210201"	148.69	0.32593	0
"III23_210201"	37.879	2.0817	38
"III23_210201"	13.886	0.32101	0
"HEK_210201"	10.5	0.32804	0
"HEK_201204"	2.3341	0.32332	0
"III23_18compl_210129"	91.193	2.0036	36
"III23_210129"	23.795	6.7023	114
"HEK_201204"	136.09	0.78827	8
"VIII27_210129"	137.26	0.48065	3
"VIII27_210129"	137.97	0.42206	2
"III23_18compl_210129"	140.6	0.31952	0
"III23_210129"	5.3095	0.32292	0
"III23_210129"	8.2931	0.32478	0
"III23_210201"	9.3747	0.3285	0
"VIII27_210129"	146.1	0.32684	0
"HEK_210201"	6.5549	0.36796	1
"III23_210129"	5.278	0.36057	1
"HEK_210203"	3.5069	0.32398	0
"III23_18compl_210129"	148.89	0.36987	1
"III23_210129"	9.8639	0.37239	1
"HEK_210203"	100.41	7.1082	118
"HEK_210203"	5.558	0.36784	1
"III23_210201"	8.7971	0.42372	2
"HEK_210201"	5.3467	0.54852	4
"HEK_210201"	4.7805	0.36029	1
"III12_210129"	3.4243	0.36681	1
"HEK_201204"	13.228	0.31963	0
"III12_210129"	10.573	0.32839	0
"III23_18compl_210129"	2.8197	0.3253	0
"III12_210129"	52.085	6.1002	107
"HEK_201204"	4.8558	0.3229	0
"HEK_201204"	143.44	0.4303	2
"III23_18compl_210129"	134.25	6.8665	107
"HEK_210201"	86.053	6.8523	118
"HEK_201204"	1.4758	0.32281	0
"III12_210129"	9.5516	0.32845	0
"III23_210201"	109.21	7.0459	118
"HEK_201204"	6.671	0.32398	0
"VIII27_210129"	5.3767	0.3233	0
"III23_18compl_210129"	92.194	2.0293	36
"III23_18compl_210129"	8.8262	0.37102	1
"HEK_210201"	145.46	0.32684	0
"HEK_210203"	8.3652	0.36215	1
"VIII27_210129"	7.0944	0.32387	0
"HEK_201204"	149.55	0.32501	0
"HEK_201204"	99.073	6.6655	106
"HEK_210201"	126.11	6.7245	102
"III23_18compl_210129"	5.5924	0.32601	0
"III12_210129"	145.13	0.32867	0
"III23_210201"	4.3594	0.36023	1
"III23_210201"	14.524	0.41897	2
"HEK_201204"	130.06	6.7447	102
"III12_210129"	37.802	5.9422	111
"III23_210129"	85.184	1.9647	34
"III12_210129"	1.1346	0.3606	1
"III12_210129"	4.9257	0.32375	0
"III23_210129"	66.975	2.1767	37
"HEK_210203"	149.45	0.32501	0
"III23_210129"	7.9755	0.3247	0
"HEK_201204"	147.16	0.32593	0
"III23_18compl_210129"	0.076564	0.42259	2
"III12_210129"	142.82	0.49072	3
"III23_210129"	65.05	2.0389	38
"III23_210129"	65.227	6.2082	109
"III23_18compl_210129"	8.872	0.36341	1
"III23_210129"	45.126	6.039	110
"HEK_210203"	14.661	0.36495	1
"III12_210129"	5.251	0.32352	0
"VIII27_210129"	54.123	1.992	36
"HEK_210201"	4.8782	0.32404	0
"HEK_210203"	8.7262	0.32604	0
"III12_210129"	40.22	2.037	38
"HEK_210201"	36.412	6.3029	118
"HEK_201204"	15.561	0.54085	4
"HEK_201204"	14.194	0.35568	1
"HEK_201204"	10.988	0.36575	1
"III12_210129"	71.641	6.5955	113
"III23_18compl_210129"	4.1967	0.36896	1
"III23_210201"	14.287	0.32066	0
"VIII27_210129"	139.49	0.32043	0
"HEK_201204"	38.8	1.9569	36
"HEK_210201"	143.67	0.49347	3
"III23_18compl_210129"	148.39	0.32593	0
"HEK_210203"	46.954	6.5774	116
"HEK_210203"	10.079	0.32948	0
"VIII27_210129"	5.2712	0.32295	0
"HEK_201204"	50.935	2.1293	38
"III23_210201"	5.8598	0.36049	1
"III23_210129"	139.25	0.35614	1
"HEK_210201"	13.156	0.319	0
"III23_18compl_210129"	39.881	6.3741	118
"HEK_210201"	140.85	0.41931	2
"III23_210129"	135.71	0.31128	0
"III23_18compl_210129"	12.866	0.36449	1
"HEK_201204"	39.452	5.7946	106
"HEK_201204"	4.2481	0.36707	1
"VIII27_210129"	143.71	0.3772	1
"III23_210201"	146.2	0.36346	1
"VIII27_210129"	140.19	0.3186	0
"III23_210201"	4.9126	0.42243	2
"VIII27_210129"	142.36	0.42847	2
"HEK_210201"	138.28	0.60791	5
"HEK_210201"	83.988	7.1017	117
"HEK_210201"	140.53	0.36346	1
"III12_210129"	11.881	0.32009	0
"HEK_210203"	144.51	0.49438	3
"HEK_210201"	1.4686	0.32427	0
"III12_210129"	120.03	6.8115	105
"HEK_210201"	3.0119	0.36156	1
"HEK_210203"	6.168	0.32372	0
"HEK_210201"	6.4713	0.32375	0
"HEK_210203"	15.664	0.72973	7
"HEK_201204"	3.4742	0.32291	0
"VIII27_210129"	143.14	0.33325	0
"HEK_201204"	12.288	0.31866	0
"III23_210129"	6.4954	0.32327	0
"HEK_210201"	5.4682	0.32407	0
"III23_210201"	109.33	7.0811	116
"III12_210129"	50.646	6.5609	115
"HEK_201204"	140.43	0.32043	0
"III23_18compl_210129"	140.93	0.31952	0
"III23_18compl_210129"	4.5395	0.32487	0
"HEK_201204"	9.1973	0.4244	2
"III23_210201"	5.057	0.32393	0
"III12_210129"	74.725	2.0366	36
"III23_210201"	77.397	1.989	36
"III23_210129"	8.2043	0.32501	0
"HEK_201204"	140.64	0.41931	2
"III23_18compl_210129"	13.768	0.32061	0
"HEK_210201"	144.78	0.42847	2
"III23_210129"	142.55	0.33051	0
"HEK_201204"	59.232	2.0272	36
"III23_18compl_210129"	144.17	0.43304	2
"III23_18compl_210129"	28.092	6.1147	107
"III12_210129"	149.92	0.3241	0
"HEK_210201"	13.435	0.54428	4
"HEK_210203"	145.34	0.37354	1
"HEK_210201"	0.76492	0.36792	1
"III23_210129"	77.265	2.0297	36
"III23_210129"	121.94	6.7882	104
"HEK_210203"	29.34	2.0199	38
"HEK_210201"	13.167	0.31895	0
"HEK_210203"	144.12	0.33417	0
"III23_210201"	3.8903	0.32358	0
"III23_210129"	143.2	0.33325	0
"HEK_210203"	71.816	2.1107	38
"VIII27_210129"	10.579	0.32839	0
"VIII27_210129"	83.017	2.1249	38
"HEK_210203"	8.522	0.32639	0
"III12_210129"	21.022	6.3631	113
"HEK_210201"	144.62	0.33234	0
"III23_18compl_210129"	71	2.1007	38
"VIII27_210129"	137.98	0.32227	0
"III23_210129"	143.58	0.43213	2
"III12_210129"	9.6669	0.42549	2
"HEK_210203"	117.41	6.6577	101
"VIII27_210129"	3.1021	0.32425	0
