"Experiment"	"Retention time"	"Total ion current"	"Reverse"
"VIII27_210129"	39.046	8375300	NA
"HEK_201204"	73.486	9540100	NA
"HEK_201204"	44.065	1015700	NA
"III12_210129"	120.58	269780	NA
"HEK_210201"	22.293	1439900	NA
"VIII27_210129"	48.459	1648600	NA
"HEK_210201"	59.576	33206000	NA
"HEK_210201"	23.046	278100	NA
"III23_210129"	76.636	2540400	NA
"III23_210201"	80.916	4443300	NA
"HEK_210201"	36.168	86635000	"+"
"III23_210201"	110.34	24978000	NA
"HEK_210203"	4.88	33670	"+"
"VIII27_210129"	124.26	276860	"+"
"HEK_201204"	65.343	1596700	"+"
"HEK_210203"	55.638	1261600	NA
"III12_210129"	99.541	2367000	NA
"III12_210129"	72.662	5640900	NA
"III23_18compl_210129"	74.07	2368600	"+"
"III23_210129"	24.668	4317000	"+"
"VIII27_210129"	101.62	6001300	NA
"VIII27_210129"	51.004	2053200	NA
"HEK_201204"	78.199	10512000	NA
"HEK_201204"	95.693	1186900	NA
"III12_210129"	149.79	22726	NA
"HEK_210201"	37.288	3350900	"+"
"III12_210129"	106.16	15081000	NA
"HEK_201204"	80.038	2106800	"+"
"III23_210201"	76.027	5447500	NA
"III23_210201"	78.226	1942600	NA
"III23_18compl_210129"	20.928	312110	"+"
"III23_210201"	45.302	5916300	NA
"HEK_210201"	32.09	23934000	NA
"HEK_201204"	23.42	3346500	NA
"III12_210129"	87.58	3693100	"+"
"III23_210129"	91.109	4856800	NA
"HEK_210201"	36.36	11328000	NA
"III12_210129"	111.35	686340	"+"
"III23_210129"	94.882	3075100	NA
"HEK_210201"	55.403	3769900	NA
"HEK_210201"	89.058	6961000	NA
"III23_18compl_210129"	101.93	8679100	NA
"III12_210129"	24.81	1400000	NA
"HEK_210203"	100.43	9356400	NA
"III23_210129"	19.563	680670	NA
"III23_210129"	102.66	2398900	NA
"HEK_210201"	109.3	639460	NA
"HEK_201204"	80.82	9814200	NA
"HEK_210201"	107.03	1057900	NA
"III23_210129"	91.842	5537000	NA
"HEK_210201"	34.845	3504400	NA
"HEK_201204"	67.403	5659200	NA
"III23_210201"	98.817	4218300	NA
"HEK_210201"	114.72	14830000	NA
"III12_210129"	65.286	4916000	NA
"III12_210129"	12.988	19411	NA
"III12_210129"	23.988	905840	NA
"III23_210201"	49.006	7527300	NA
"III23_210129"	23.581	573890	NA
"III23_210201"	40.175	465390	"+"
"III23_210201"	100.6	644600	NA
"HEK_210203"	112.69	515680	NA
"HEK_210203"	119.61	383370	NA
"III23_210201"	63.565	4307900	"+"
"HEK_210201"	54.169	4653200	NA
"III23_18compl_210129"	95.11	1462000	NA
"HEK_210201"	86.527	5709500	"+"
"III23_210201"	37.675	12564000	NA
"III23_210129"	116.01	407340	NA
"HEK_210203"	79.871	898250	NA
"HEK_210203"	14.093	52049	NA
"HEK_210201"	67.319	6147600	NA
"III23_210129"	18.022	1361200	"+"
"III23_210201"	38.198	10790000	NA
"HEK_210201"	50.398	3304600	NA
"HEK_210201"	90.881	2995600	NA
"HEK_210203"	133.89	149090	NA
"HEK_210201"	86.924	12915000	NA
"III12_210129"	39.305	8595400	NA
"HEK_210203"	57.172	7218200	NA
"III12_210129"	45.33	10406000	NA
"III23_18compl_210129"	36.439	7659000	NA
"III23_18compl_210129"	55.656	19302000	NA
"III23_210129"	22.407	1962100	NA
"III23_210201"	44.035	15812000	NA
"III12_210129"	19.528	2468800	NA
"VIII27_210129"	119.95	89485	NA
"HEK_210201"	84.76	3060700	NA
"VIII27_210129"	47.959	33026000	NA
"HEK_210201"	15.209	66539	NA
"III12_210129"	51.935	3285300	NA
"III23_18compl_210129"	75.566	2257800	NA
"III23_18compl_210129"	56.391	8156200	NA
"III23_210201"	99.694	3090500	NA
"HEK_210203"	79.488	1954100	NA
"III12_210129"	91.245	750480	NA
"HEK_210201"	40.976	3915400	NA
"HEK_210201"	95.869	6249600	NA
"III23_210129"	140.09	143850	NA
"III23_210129"	47.952	14650000	"+"
"HEK_210201"	76.133	3999200	NA
"VIII27_210129"	18.571	156270	NA
"HEK_201204"	36.654	2750000	NA
"HEK_201204"	93.266	8704300	NA
"HEK_210203"	122.11	241320	NA
"VIII27_210129"	74.091	10958000	NA
"III23_210201"	87.316	988930	NA
"VIII27_210129"	34.439	2479100	"+"
"HEK_210201"	106.4	1580000	"+"
"III12_210129"	20.834	85707	"+"
"III23_210201"	24.066	2749800	"+"
"III12_210129"	10.693	259450	NA
"III23_210201"	34.486	2291000	"+"
"HEK_210203"	91.651	1712300	NA
"III23_210129"	17.214	6686000	NA
"III12_210129"	31.25	1251400	NA
"III23_210129"	89.827	36424000	NA
"HEK_210201"	33.429	5552700	NA
"III12_210129"	43.462	7359400	"+"
"HEK_210201"	58.189	1443300	NA
"VIII27_210129"	96.712	2866400	NA
"VIII27_210129"	98.504	2416300	"+"
"VIII27_210129"	142.95	37192	"+"
"HEK_210201"	133.68	304280	NA
"HEK_201204"	87.565	897990	NA
"VIII27_210129"	81.68	10505000	NA
"III23_18compl_210129"	109.37	5237400	NA
"VIII27_210129"	54.615	7687800	"+"
"III23_210129"	77.204	5046600	"+"
"HEK_201204"	86.678	6145300	NA
"III23_210201"	10.913	50224	NA
"III23_18compl_210129"	133.93	167930	"+"
"III23_210201"	83.601	1368600	"+"
"HEK_210201"	18.558	979170	"+"
"III23_210201"	71.278	4430600	NA
"III23_210129"	77.771	5011000	NA
"VIII27_210129"	60.436	5380000	NA
"HEK_210201"	16.826	37556	"+"
"HEK_210203"	57.645	2994000	NA
"HEK_210201"	36.066	3467200	NA
"HEK_210201"	88.268	1251000	NA
"III12_210129"	55.633	4677000	"+"
"HEK_210203"	46.486	11474000	NA
"HEK_210201"	111.77	1576500	NA
"HEK_201204"	79.666	4300000	NA
"III23_210129"	56.188	3305200	NA
"III23_210201"	81.623	303790	NA
"HEK_210203"	93.085	2246300	NA
"III12_210129"	136.75	142650	NA
"III23_210129"	40.417	1420000	"+"
"HEK_210201"	47.697	11961000	"+"
"VIII27_210129"	57.042	2166700	"+"
"HEK_210201"	92.764	1284500	NA
"III23_210129"	121.48	106900	"+"
"HEK_210203"	51.959	1556400	"+"
"HEK_210201"	75.513	8839000	NA
"HEK_210203"	108.99	673100	NA
"HEK_210203"	74.774	1413400	NA
"III23_18compl_210129"	37.605	6101500	NA
"HEK_210203"	25.064	7372200	NA
"III23_210201"	51.172	2853100	NA
