"Intensity"	"Intensity QC02_210326"	"Intensity QC02_210331"	"Intensity QC02_210402"	"Intensity QC02_210406"	"Intensity QC02_210410"	"Intensity QC02_210411"	"LFQ intensity QC02_210326"	"LFQ intensity QC02_210331"	"LFQ intensity QC02_210402"	"LFQ intensity QC02_210406"	"LFQ intensity QC02_210410"	"LFQ intensity QC02_210411"	"Identification type QC02_210326"	"Identification type QC02_210331"	"Identification type QC02_210402"	"Identification type QC02_210406"	"Identification type QC02_210410"	"Identification type QC02_210411"	"Protein IDs"	"Peptides"	"Peptides QC02_210326"	"Peptides QC02_210331"	"Peptides QC02_210402"	"Peptides QC02_210406"	"Peptides QC02_210410"	"Peptides QC02_210411"	"Reverse"	"Only identified by site"	"Potential contaminant"	"Sequence coverage [%]"	"Sequence length"
126390000	14525000	15271000	14729000	32412000	21830000	27622000	5281500	6257400	6046900	5551200	4771500	5299600	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O95295"	4	4	3	4	4	4	4	NA	NA	NA	41.9	136
934670000	253830	87977000	66364000	130610000	423430000	226040000	0	0	0	0	0	0	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"REV__P08473"	1	1	1	1	1	1	1	"+"	NA	NA	0	750
823840000	84475000	116480000	69874000	184570000	211350000	157090000	16869000	17805000	18584000	17051000	18138000	17529000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P07099"	15	11	12	11	12	10	12	NA	NA	NA	41.1	455
5731600000	592970000	715880000	618640000	1373500000	1.142e+09	1288500000	74225000	71870000	82698000	83022000	77838000	77835000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q13263"	25	25	23	24	22	22	24	NA	NA	NA	60	835
110140000	11165000	6034200	10511000	27114000	25660000	29658000	6390200	5751200	7892900	5302000	6887800	6878000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9UK41"	5	4	4	4	4	4	5	NA	NA	NA	34.4	221
281820000	26144000	30601000	24057000	70823000	58841000	71358000	12263000	12798000	15030000	12384000	17877000	12975000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O60220"	4	3	3	3	4	3	4	NA	NA	NA	63.9	97
1681700000	198100000	283090000	142200000	375440000	309790000	373070000	129980000	132310000	136660000	144680000	109660000	142590000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P09012"	8	7	8	8	7	8	6	NA	NA	NA	35.8	282
960430000	101990000	76784000	122920000	265020000	169900000	223820000	19973000	19489000	22099000	22361000	19081000	22486000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9NTZ6"	18	17	14	14	17	16	17	NA	NA	NA	22.5	932
489250000	59828000	68532000	54679000	119720000	95630000	90860000	16061000	17051000	16842000	18809000	16301000	18480000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O95394"	12	11	10	10	10	8	10	NA	NA	NA	26.6	542
769820000	80065000	115860000	77371000	146860000	185740000	163930000	25787000	26202000	24975000	22808000	32744000	25055000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q14257"	12	11	12	11	11	10	12	NA	NA	NA	47	317
832670000	94338000	109480000	63510000	227120000	142820000	195400000	31241000	33339000	34135000	34600000	29195000	33747000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P78330"	9	8	5	6	8	9	8	NA	NA	NA	55.6	225
80584000	7847500	11300000	8857200	17318000	15287000	19975000	5296700	5271300	5989700	4980800	3949400	5651400	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q96SK2"	5	4	5	4	4	3	5	NA	NA	NA	13.9	561
38362000	6688200	3069600	1003100	2417800	14475000	10708000	4328100	0	0	0	3688500	4120500	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9Y276"	7	4	4	1	1	5	3	NA	NA	NA	19.8	419
500850000	62934000	56475000	43730000	125970000	96989000	114750000	11801000	10848000	12071000	11738000	15232000	11070000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9H0S4"	16	13	14	12	14	12	14	NA	NA	NA	45.5	455
5818600	0	902520	0	2639400	0	2276700	0	0	0	922500	0	899090	NA	"By MS/MS"	NA	"By MS/MS"	NA	"By MS/MS"	"Q9Y3D5"	1	0	1	0	1	0	1	NA	NA	NA	13.4	142
